6.000042	12.609545	20.788725	39.698238
6.010043	13.438435	21.846380	40.835087
6.020043	14.284350	22.805008	42.162071
6.030043	15.134014	23.618000	43.676567
6.040043	15.970753	24.234203	45.366714
6.050044	16.774523	24.600702	47.209358
6.060044	17.522251	24.666883	49.168560
6.070044	18.188599	24.389627	51.195202
6.080044	18.747160	23.739151	53.228195
6.090044	19.172115	22.704634	55.197605
6.100045	19.440187	21.298532	57.029671
6.110045	19.532707	19.558437	58.653297
6.120045	19.437513	17.545633	60.007015
6.130045	19.150352	15.340200	61.045242
6.140046	18.675554	13.033281	61.742584
6.150046	18.025822	10.717878	62.095371
6.160046	17.221176	8.479877	62.120239
6.170046	16.287230	6.390853	61.850231
6.180047	15.253075	4.503639	61.329399
6.190047	14.149086	2.850926	60.607040
6.200047	13.004939	1.446473	59.732513
6.210047	11.848015	0.288132	58.751328
6.220047	10.702291	-0.638243	57.702648
6.230048	9.587722	-1.354772	56.618217
6.240048	8.520031	-1.887966	55.522297
6.250048	7.510845	-2.265856	54.432377
6.260048	6.568037	-2.515914	53.360229
6.270049	5.696205	-2.663696	52.313099
6.280049	4.897207	-2.732071	51.294846
6.290049	4.170692	-2.740902	50.306934
6.300049	3.514601	-2.707019	49.349243
6.310050	2.925607	-2.644389	48.420673
6.320050	2.399500	-2.564389	47.519611
6.330050	1.931496	-2.476130	46.644226
6.340050	1.516498	-2.386788	45.792675
6.350050	1.149289	-2.301924	44.963226
6.360051	0.824684	-2.225780	44.154324
6.370051	0.537642	-2.161536	43.364609
6.380051	0.283339	-2.111545	42.592934
6.390051	0.057217	-2.077532	41.838337
6.400052	-0.144986	-2.060757	41.100033
6.410052	-0.327235	-2.062165	40.377396
6.420052	-0.493195	-2.082504	39.669930
6.430052	-0.646246	-2.122421	38.977264
6.440053	-0.789512	-2.182553	38.299137
6.450053	-0.925878	-2.263597	37.635384
6.460053	-1.058030	-2.366365	36.985935
6.470053	-1.188480	-2.491843	36.350822
6.480053	-1.319609	-2.641231	35.730175
6.490054	-1.453696	-2.815988	35.124237
6.500054	-1.592954	-3.017868	34.533375
6.510054	-1.739571	-3.248955	33.958107
6.520054	-1.895742	-3.511703	33.399120
6.530055	-2.063705	-3.808968	32.857315
6.540055	-2.245779	-4.144045	32.333843
6.550055	-2.444397	-4.520703	31.830172
6.560055	-2.662145	-4.943217	31.348143
6.570055	-2.901793	-5.416399	30.890066
6.580056	-3.166333	-5.945624	30.458824
6.590056	-3.459013	-6.536838	30.058002
6.600056	-3.783361	-7.196556	29.692051
