1.000100	3.436564
1.000200	3.437007
1.000300	3.437451
1.000400	3.437895
1.000500	3.438339
1.000600	3.438783
1.000700	3.439227
1.000800	3.439671
1.000900	3.440115
1.001000	3.440559
1.001100	3.441004
1.001200	3.441448
1.001300	3.441892
1.001400	3.442337
1.001500	3.442781
1.001600	3.443226
1.001700	3.443670
1.001800	3.444115
1.001900	3.444560
1.002000	3.445004
1.002100	3.445449
1.002200	3.445894
1.002300	3.446339
1.002400	3.446784
1.002500	3.447229
1.002600	3.447674
1.002700	3.448119
1.002800	3.448564
1.002900	3.449009
1.003000	3.449455
1.003101	3.449900
1.003201	3.450346
1.003301	3.450791
1.003401	3.451236
1.003501	3.451682
1.003601	3.452127
1.003701	3.452573
1.003801	3.453019
1.003901	3.453465
1.004001	3.453911
1.004101	3.454356
1.004201	3.454802
1.004301	3.455248
1.004401	3.455694
1.004501	3.456141
1.004601	3.456587
1.004701	3.457033
1.004801	3.457479
1.004901	3.457926
1.005001	3.458372
1.005101	3.458818
1.005201	3.459265
1.005301	3.459711
1.005401	3.460158
1.005501	3.460604
1.005601	3.461051
1.005701	3.461498
1.005801	3.461945
1.005901	3.462392
1.006001	3.462839
1.006101	3.463285
1.006201	3.463732
1.006301	3.464180
1.006401	3.464627
1.006501	3.465074
1.006601	3.465521
1.006701	3.465969
1.006801	3.466416
1.006901	3.466863
1.007001	3.467311
1.007101	3.467758
1.007201	3.468206
1.007301	3.468653
1.007401	3.469101
1.007501	3.469549
1.007601	3.469997
1.007701	3.470445
1.007801	3.470892
1.007901	3.471340
1.008001	3.471788
1.008101	3.472237
1.008201	3.472685
1.008301	3.473133
1.008401	3.473581
1.008501	3.474029
1.008601	3.474478
1.008701	3.474926
1.008801	3.475374
1.008901	3.475823
1.009001	3.476272
1.009102	3.476720
1.009202	3.477169
1.009302	3.477618
1.009402	3.478066
1.009502	3.478515
1.009602	3.478964
1.009702	3.479413
1.009802	3.479862
1.009902	3.480311
1.100017	3.907914
1.100117	3.908415
1.100217	3.908916
1.100317	3.909417
1.100417	3.909918
1.100517	3.910419
1.100617	3.910921
1.100717	3.911422
1.100817	3.911923
1.100917	3.912425
1.101017	3.912926
1.101117	3.913427
1.101217	3.913929
1.101317	3.914431
1.101417	3.914932
1.101517	3.915434
1.101617	3.915936
1.101717	3.916438
1.101817	3.916939
1.101917	3.917442
1.102017	3.917944
1.102117	3.918446
1.102217	3.918948
1.102317	3.919450
1.102417	3.919952
1.102517	3.920455
1.102617	3.920957
1.102717	3.921460
1.102817	3.921962
1.102917	3.922465
1.103017	3.922967
1.103117	3.923470
1.103217	3.923973
1.103317	3.924476
1.103417	3.924978
1.103517	3.925481
1.103617	3.925984
1.103717	3.926487
1.103817	3.926991
1.103917	3.927494
1.104017	3.927997
1.104117	3.928500
1.104217	3.929004
1.104317	3.929507
1.104417	3.930011
1.104517	3.930514
1.104617	3.931018
1.104717	3.931521
1.104817	3.932025
1.104917	3.932529
1.105017	3.933033
1.105117	3.933537
1.105217	3.934041
1.105317	3.934545
1.105417	3.935049
1.105518	3.935553
1.105618	3.936057
1.105718	3.936561
1.105818	3.937066
1.105918	3.937570
1.106018	3.938075
1.106118	3.938579
1.106218	3.939084
1.106318	3.939588
1.106418	3.940093
1.106518	3.940598
1.106618	3.941103
1.106718	3.941607
1.106818	3.942112
1.106918	3.942617
1.107018	3.943122
1.107118	3.943628
1.107218	3.944133
1.107318	3.944638
1.107418	3.945143
1.107518	3.945649
1.107618	3.946154
1.107718	3.946660
1.107818	3.947165
1.107918	3.947671
1.108018	3.948176
1.108118	3.948682
1.108218	3.949188
1.108318	3.949694
1.108418	3.950200
