0.000000	100.150116	10.000075
0.010000	100.300453	10.000300
0.020000	100.451012	10.000676
0.030000	100.601791	10.001203
0.040000	100.752792	10.001880
0.050000	100.904015	10.002708
0.060000	101.055450	10.003689
0.070000	101.207108	10.004821
0.080000	101.358978	10.006104
0.090000	101.511063	10.007541
0.100000	101.663361	10.009130
0.110000	101.815865	10.010871
0.120000	101.968582	10.012765
0.130000	102.121506	10.014812
0.140000	102.274643	10.017014
0.150000	102.427986	10.019369
0.160000	102.581535	10.021879
0.170000	102.735283	10.024544
0.180000	102.889236	10.027364
0.190000	103.043388	10.030338
0.200000	103.197739	10.033469
0.210000	103.352287	10.036756
0.220000	103.507034	10.040198
0.230000	103.661980	10.043797
0.240000	103.817116	10.047554
0.250000	103.972443	10.051468
0.260000	104.127960	10.055540
0.270000	104.283669	10.059771
0.280000	104.439568	10.064159
0.290000	104.595650	10.068707
0.300000	104.751915	10.073415
0.310000	104.908363	10.078281
0.320000	105.064995	10.083308
0.330000	105.221809	10.088496
0.340000	105.378799	10.093844
0.350000	105.535965	10.099355
0.360000	105.693306	10.105027
0.370000	105.850822	10.110862
0.380000	106.008514	10.116858
0.390000	106.166374	10.123019
0.400000	106.324402	10.129343
0.410000	106.482597	10.135832
0.420000	106.640961	10.142485
0.430000	106.799484	10.149302
0.440000	106.958168	10.156286
0.450000	107.117012	10.163436
0.460000	107.276016	10.170753
0.470000	107.435173	10.178236
0.480000	107.594490	10.185887
0.490000	107.753960	10.193707
0.500000	107.913582	10.201696
0.510000	108.073349	10.209854
0.520000	108.233261	10.218182
0.530000	108.393318	10.226680
0.540000	108.553520	10.235349
0.550000	108.713867	10.244189
0.560000	108.874352	10.253202
0.570000	109.034973	10.262388
0.580000	109.195732	10.271747
0.590000	109.356628	10.281280
0.600000	109.517654	10.290987
0.610000	109.678810	10.300869
0.620000	109.840096	10.310927
0.630000	110.001503	10.321161
0.640000	110.163033	10.331573
0.650000	110.324684	10.342161
0.660000	110.486458	10.352928
0.670000	110.648346	10.363874
0.680000	110.810349	10.375000
0.690000	110.972466	10.386306
0.700000	111.134689	10.397793
0.710000	111.297028	10.409461
0.720000	111.459465	10.421312
0.730000	111.622009	10.433346
0.740000	111.784653	10.445563
0.750000	111.947395	10.457966
0.760000	112.110237	10.470553
0.770000	112.273170	10.483327
0.780000	112.436203	10.496286
0.790000	112.599319	10.509434
0.800000	112.762527	10.522769
0.810000	112.925819	10.536293
0.820000	113.089195	10.550007
0.830000	113.252647	10.563911
0.839999	113.416176	10.578007
0.849999	113.579781	10.592295
0.859999	113.743462	10.606775
0.869999	113.907211	10.621449
0.879999	114.071030	10.636318
0.889999	114.234909	10.651382
0.899999	114.398849	10.666643
0.909999	114.562851	10.682100
0.919999	114.726906	10.697756
0.929999	114.891014	10.713610
0.939999	115.055176	10.729663
0.949999	115.219391	10.745917
0.959999	115.383644	10.762373
0.969999	115.547943	10.779031
0.979999	115.712280	10.795892
0.989999	115.876656	10.812957
0.999999	116.041069	10.830227
1.009999	116.205513	10.847703
1.019999	116.369987	10.865386
1.029999	116.534485	10.883277
1.039999	116.699005	10.901377
1.049999	116.863541	10.919686
1.059999	117.028099	10.938207
1.069999	117.192665	10.956939
1.079999	117.357246	10.975883
1.089999	117.521835	10.995042
1.099999	117.686424	11.014415
1.109999	117.851013	11.034003
1.119999	118.015602	11.053808
1.129999	118.180183	11.073832
1.139999	118.344757	11.094073
1.149999	118.509323	11.114535
1.159999	118.673874	11.135219
1.169999	118.838402	11.156123
1.179999	119.002907	11.177251
1.189999	119.167389	11.198604
1.199999	119.331841	11.220181
1.209999	119.496262	11.241985
1.219999	119.660645	11.264017
1.229999	119.824989	11.286278
1.239999	119.989288	11.308768
1.249999	120.153542	11.331490
1.259999	120.317749	11.354443
1.269999	120.481903	11.377629
1.279999	120.645996	11.401051
1.289999	120.810028	11.424707
1.299999	120.973999	11.448601
1.309999	121.137901	11.472733
1.319999	121.301727	11.497104
1.329999	121.465485	11.521715
1.339999	121.629158	11.546568
1.349999	121.792747	11.571664
1.359999	121.956253	11.597004
1.369999	122.119667	11.622589
1.379999	122.282982	11.648421
1.389999	122.446198	11.674501
1.399999	122.609314	11.700831
1.409999	122.772316	11.727411
1.419999	122.935211	11.754244
1.429999	123.097992	11.781329
1.439999	123.260651	11.808669
1.449999	123.423187	11.836265
1.459999	123.585594	11.864118
1.469999	123.747871	11.892229
1.479999	123.910011	11.920601
1.489999	124.072006	11.949234
1.499999	124.233856	11.978129
1.509999	124.395554	12.007289
1.519999	124.557098	12.036715
1.529999	124.718483	12.066407
1.539999	124.879707	12.096368
1.549999	125.040764	12.126598
1.559999	125.201645	12.157100
1.569999	125.362350	12.187874
1.579999	125.522873	12.218923
1.589999	125.683212	12.250247
1.599999	125.843361	12.281848
1.609999	126.003311	12.313728
1.619999	126.163063	12.345888
1.629999	126.322609	12.378330
1.639999	126.481941	12.411055
1.649999	126.641060	12.444064
1.659999	126.799957	12.477360
1.669999	126.958633	12.510943
1.679999	127.117073	12.544816
1.689999	127.275284	12.578979
1.699999	127.433250	12.613436
1.709999	127.590973	12.648186
1.719999	127.748444	12.683231
1.729999	127.905663	12.718575
1.739999	128.062622	12.754216
1.749999	128.219315	12.790158
1.759999	128.375732	12.826403
1.769999	128.531876	12.862950
1.779999	128.687729	12.899804
1.789999	128.843292	12.936964
1.799999	128.998566	12.974433
1.809999	129.153549	13.012213
1.819999	129.308228	13.050304
1.829999	129.462585	13.088710
1.839999	129.616638	13.127431
1.849999	129.770370	13.166469
