0.000000 	 4.000000 	 0.000000 	 0.000000 
0.001000 	 4.000000 	 0.000750 	 0.000000 
0.002000 	 4.000000 	 0.001500 	 0.000000 
0.003000 	 4.000000 	 0.002250 	 0.000000 
0.004000 	 4.000000 	 0.003000 	 0.000000 
0.005000 	 4.000000 	 0.003750 	 0.000000 
0.006000 	 4.000000 	 0.004500 	 0.000000 
0.007000 	 4.000000 	 0.005250 	 0.000000 
0.008000 	 4.000000 	 0.006000 	 0.000000 
0.009000 	 4.000000 	 0.006750 	 0.000000 
0.010000 	 4.000000 	 0.007500 	 0.000000 
0.011000 	 4.000000 	 0.008250 	 0.000000 
0.012000 	 4.000000 	 0.009000 	 0.000000 
0.013000 	 4.000000 	 0.009750 	 0.000000 
0.014000 	 4.000000 	 0.010500 	 0.000000 
0.015000 	 4.000000 	 0.011250 	 0.000000 
0.016000 	 4.000000 	 0.012000 	 0.000000 
0.017000 	 4.000000 	 0.012750 	 0.000000 
0.018000 	 4.000000 	 0.013500 	 0.000000 
0.019000 	 4.000000 	 0.014250 	 0.000000 
0.020000 	 4.000000 	 0.015000 	 0.000000 
0.021000 	 4.000000 	 0.015750 	 0.000000 
0.022000 	 4.000000 	 0.016500 	 0.000000 
0.023000 	 4.000000 	 0.017250 	 0.000000 
0.024000 	 4.000000 	 0.018000 	 0.000000 
0.025000 	 4.000000 	 0.018750 	 0.000000 
0.026000 	 4.000000 	 0.019500 	 0.000000 
0.027000 	 4.000000 	 0.020250 	 0.000000 
0.028000 	 4.000000 	 0.021000 	 0.000000 
0.029000 	 4.000000 	 0.021750 	 0.000000 
0.030000 	 4.000000 	 0.022500 	 0.000000 
0.031000 	 4.000000 	 0.023250 	 0.000000 
0.032000 	 4.000000 	 0.024000 	 0.000000 
0.033000 	 4.000000 	 0.024750 	 0.000000 
0.034000 	 4.000000 	 0.025500 	 0.000000 
0.035000 	 4.000000 	 0.026250 	 0.000000 
0.036000 	 4.000000 	 0.027000 	 0.000000 
0.037000 	 4.000000 	 0.027750 	 0.000000 
0.038000 	 4.000000 	 0.028500 	 0.000000 
0.039000 	 4.000000 	 0.029250 	 0.000000 
0.040000 	 4.000000 	 0.030000 	 0.000000 
0.041000 	 4.000000 	 0.030750 	 0.000000 
0.042000 	 4.000000 	 0.031500 	 0.000000 
0.043000 	 4.000000 	 0.032250 	 0.000000 
0.044000 	 4.000000 	 0.033000 	 0.000000 
0.045000 	 4.000000 	 0.033750 	 0.000000 
0.046000 	 4.000000 	 0.034500 	 0.000000 
0.047000 	 4.000000 	 0.035250 	 0.000000 
0.048000 	 4.000000 	 0.036000 	 0.000000 
0.049000 	 4.000000 	 0.036750 	 0.000000 
0.050000 	 4.000000 	 0.037500 	 0.000000 
0.051000 	 4.000000 	 0.038250 	 0.000000 
0.052000 	 4.000000 	 0.039000 	 0.000000 
0.053000 	 4.000000 	 0.039750 	 0.000000 
0.054000 	 4.000000 	 0.040500 	 0.000000 
0.055000 	 4.000000 	 0.041250 	 0.000000 
0.056000 	 4.000000 	 0.042000 	 0.000000 
0.057000 	 4.000000 	 0.042750 	 0.000000 
0.058000 	 4.000000 	 0.043500 	 0.000000 
0.059000 	 4.000000 	 0.044250 	 0.000000 
0.060000 	 4.000000 	 0.045000 	 0.000000 
0.061000 	 4.000000 	 0.045750 	 0.000000 
0.062000 	 4.000000 	 0.046500 	 0.000000 
0.063000 	 4.000000 	 0.047250 	 0.000000 
0.064000 	 4.000000 	 0.048000 	 0.000000 
0.065000 	 4.000000 	 0.048750 	 0.000000 
0.066000 	 4.000000 	 0.049500 	 0.000000 
0.067000 	 4.000000 	 0.050250 	 0.000000 
0.068000 	 4.000000 	 0.051000 	 0.000000 
0.069000 	 4.000000 	 0.051750 	 0.000000 
0.070000 	 4.000000 	 0.052500 	 0.000000 
0.071000 	 4.000000 	 0.053250 	 0.000000 
0.072000 	 4.000000 	 0.054000 	 0.000000 
0.073000 	 4.000000 	 0.054750 	 0.000000 
0.074000 	 4.000000 	 0.055500 	 0.000000 
0.075000 	 4.000000 	 0.056250 	 0.000000 
0.076000 	 4.000000 	 0.057000 	 0.000000 
0.077000 	 4.000000 	 0.057750 	 0.000000 
0.078000 	 4.000000 	 0.058500 	 0.000000 
0.079000 	 4.000000 	 0.059250 	 0.000000 
0.080000 	 4.000000 	 0.060000 	 0.000000 
0.081000 	 4.000000 	 0.060750 	 0.000000 
0.082000 	 4.000000 	 0.061500 	 0.000000 
0.083000 	 4.000000 	 0.062250 	 0.000000 
0.084000 	 4.000000 	 0.063000 	 0.000000 
0.085000 	 4.000000 	 0.063750 	 0.000000 
0.086000 	 4.000000 	 0.064500 	 0.000000 
0.087000 	 4.000000 	 0.065250 	 0.000000 
0.088000 	 4.000000 	 0.066000 	 0.000000 
0.089000 	 4.000000 	 0.066750 	 0.000000 
0.090000 	 4.000000 	 0.067500 	 0.000000 
0.091000 	 4.000000 	 0.068250 	 0.000000 
0.092000 	 4.000000 	 0.069000 	 0.000000 
0.093000 	 4.000000 	 0.069750 	 0.000000 
0.094000 	 4.000000 	 0.070500 	 0.000000 
0.095000 	 4.000000 	 0.071250 	 0.000000 
0.096000 	 4.000000 	 0.072000 	 0.000000 
0.097000 	 4.000000 	 0.072750 	 0.000000 
0.098000 	 4.000000 	 0.073500 	 0.000000 
0.099000 	 4.000000 	 0.074250 	 0.000000 
0.100000 	 4.000000 	 0.075000 	 0.000000 
0.101000 	 4.000000 	 0.075750 	 0.000000 
0.102000 	 4.000000 	 0.076500 	 0.000000 
